,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,市值,股息率,日期
73,685,中山公用,7.41,-0.13,8.18,7.46,0.72,1.26,4.55,31.41,公用事业,1093057.5111,3.7787,2022-05-17
74,686,东北证券,6.38,0.16,14.55,9.19,0.84,0.65,2.14,3.5,证券,1493208.9598,1.5674,2022-05-17
75,690,宝新能源,4.08,-1.21,12.04,10.77,0.79,-,0.92,6.09,电力行业,887762.2477,7.3529,2022-05-17
76,703,恒逸石化,8.46,-0.12,10.58,9.1,1.19,0.88,0.24,7.0,化纤行业,3101673.3284,3.525,2022-05-17
77,705,浙江震元,7.67,-2.29,34.46,33.16,1.38,-,0.69,32.7,医药商业,256272.5604,0.9126,2022-05-17
78,709,河钢股份,2.33,0.0,9.82,9.2,0.48,0.18,0.17,1.71,钢铁行业,2474135.6295,4.1781,2022-05-17
79,715,中兴商业,5.88,-9.95,18.56,17.99,1.46,0.56,2.89,42.68,商业百货,244442.7367,0.8503,2022-05-17
80,717,韶钢松山,3.46,-0.86,5.19,4.36,0.76,1.88,0.19,3.88,钢铁行业,838522.3119,5.7709,2022-05-17
81,718,苏宁环球,3.76,-2.84,23.41,18.16,1.27,-,4.3,21.37,房地产开发,1141023.2804,0.0,2022-05-17
82,719,中原传媒,6.89,-0.72,7.23,7.23,0.74,1.42,0.77,3.98,文化传媒,704987.3831,4.4993,2022-05-17
83,725,京东方A,3.84,0.0,5.91,5.72,1.11,0.01,0.67,2.36,光学光电子,14763166.6491,2.349,2022-05-17
84,726,鲁泰A,7.2,0.42,14.78,18.39,0.79,0.04,1.1,17.33,纺织服装,639317.0318,0.688,2022-05-17
85,728,国元证券,5.81,0.17,17.42,13.28,0.79,0.37,4.39,50.1,证券,2535354.9547,3.4423,2022-05-17
86,729,燕京啤酒,6.79,0.74,56.71,83.93,1.43,4.38,1.56,12.55,酿酒行业,1913788.2125,0.324,2022-05-17
87,731,四川美丰,9.1,-0.98,7.66,9.37,1.48,0.01,1.17,5.5,化肥行业,533008.6143,0.0,2022-05-17
88,750,国海证券,3.39,-0.29,28.71,24.14,0.99,4.07,3.87,1.11,证券,1845694.1492,3.5398,2022-05-17
89,751,锌业股份,3.08,-0.65,24.49,18.89,1.47,-,0.18,113.81,有色金属,434239.7379,0.0,2022-05-17
90,753,漳州发展,3.78,-1.82,27.62,27.64,1.42,17.17,1.21,-6.08,汽车服务,374779.8448,0.7937,2022-05-17
91,755,山西路桥,3.93,-1.5,14.11,14.2,1.37,0.02,3.53,4.09,铁路公路,576652.907,0.0,2022-05-17
92,757,浩物股份,3.88,3.47,31.81,29.78,1.45,0.67,0.61,11.8,汽车服务,257909.2303,0.0,2022-05-17
93,761,本钢板材,4.06,-0.73,7.42,6.67,0.76,0.02,0.21,9.99,钢铁行业,1667931.6673,11.8772,2022-05-17
94,776,广发证券,15.9,0.95,12.6,11.16,1.14,1.51,3.95,-11.45,证券,12117529.3858,2.8302,2022-05-17
95,778,新兴铸管,4.79,-1.44,8.92,9.52,0.79,0.95,0.36,7.08,钢铁行业,1911238.1537,3.13,2022-05-17
96,783,长江证券,5.53,0.18,17.43,12.69,1.02,1.09,4.08,2.37,证券,3058066.4085,2.7125,2022-05-17
97,785,居然之家,4.13,-0.24,12.19,11.6,1.37,0.16,2.1,4.53,商业百货,2696492.2393,1.255,2022-05-17
98,789,万年青,11.31,-0.35,6.1,5.66,1.22,0.80,0.63,4.51,水泥建材,901862.1393,6.1892,2022-05-17
99,791,甘肃电投,5.4,-0.55,29.63,28.2,1.09,-,3.68,6.27,电力行业,734171.4072,2.4074,2022-05-17
100,797,中国武夷,3.69,-5.63,121.78,108.11,1.12,-,0.66,9.0,房地产开发,579608.3061,1.6263,2022-05-17
101,800,一汽解放,8.14,2.13,14.77,9.71,1.42,0.30,0.55,4.3,汽车整车,3788449.295,6.1379,2022-05-17
102,811,冰轮环境,9.1,0.55,22.76,22.56,1.46,0.60,1.23,16.53,通用设备,678712.4016,0.5495,2022-05-17
103,823,超声电子,9.27,0.54,13.26,13.25,1.21,0.66,0.72,8.02,电子元件,497788.3488,1.4023,2022-05-17
104,825,太钢不锈,5.5,-1.08,5.48,4.97,0.86,0.02,0.3,2.24,钢铁行业,3132936.2878,13.4364,2022-05-17
105,828,东莞控股,9.78,1.24,11.82,10.94,1.18,7.11,1.97,-18.93,铁路公路,1016647.6182,2.5562,2022-05-17
106,850,华茂股份,3.59,-1.37,9.71,7.05,0.74,0.05,0.96,15.66,纺织服装,338775.7382,1.3928,2022-05-17
107,851,高鸿股份,4.33,-0.69,303.2,321.41,1.1,2.85,0.6,-28.61,通信设备,493633.9513,0.0,2022-05-17
108,863,三湘印象,3.2,-1.54,285.79,34.55,0.87,-,1.89,72.51,房地产开发,392066.6112,12.0459,2022-05-17
109,877,天山股份,12.18,-0.65,8.64,8.42,1.3,0.00,0.62,3.84,水泥建材,10552048.9875,0.4771,2022-05-17
110,880,潍柴重机,7.53,2.03,18.1,18.24,1.46,0.73,0.74,186.21,通用设备,249484.4118,0.5533,2022-05-17
111,881,中广核技,8.0,-0.62,39.51,42.8,1.23,-,0.89,14.46,化学制品,756340.652,0.4125,2022-05-17
112,883,湖北能源,4.22,-0.71,12.63,11.85,0.9,-,1.13,5.88,电力行业,2772434.8739,2.8166,2022-05-17
113,885,城发环境,9.18,-1.4,5.93,6.12,1.01,0.12,0.97,4.83,铁路公路,589427.8381,1.0458,2022-05-17
114,886,海南高速,4.25,10.1,109.87,81.8,1.49,-,26.04,-34.36,房地产开发,420252.0275,1.1765,2022-05-17
115,898,鞍钢股份,3.4,-0.29,4.63,4.62,0.52,0.02,0.23,2.47,钢铁行业,3197026.9533,2.4695,2022-05-17
116,900,现代投资,4.43,-0.89,13.34,10.77,0.64,0.77,0.46,2.11,铁路公路,672397.952,3.6117,2022-05-17
117,901,航天科技,7.88,-0.51,289.3,197.05,1.5,-,1.09,34.65,汽车零部件,628982.7079,0.0,2022-05-17
118,905,厦门港务,7.55,-1.44,17.95,19.71,1.24,0.22,0.19,7.19,航运港口,472019.5991,0.2384,2022-05-17
119,910,大亚圣象,8.13,-1.57,8.86,7.48,0.73,-,0.51,7.01,装修建材,445034.1675,1.968,2022-05-17
120,912,泸天化,5.49,0.18,16.07,19.29,1.43,1.38,1.17,9.99,化肥行业,860832.0,0.0,2022-05-17
121,917,电广传媒,4.81,-1.23,19.93,20.64,0.66,-,1.58,50.27,文化传媒,681844.5986,0.0,2022-05-17
122,919,金陵药业,6.97,-2.11,28.49,29.49,1.19,0.24,1.27,17.88,中药,355748.8,1.4167,2022-05-17
123,923,河钢资源,13.79,-0.36,7.88,6.92,1.03,0.30,1.45,3.69,钢铁行业,900113.2372,0.7252,2022-05-17
124,925,众合科技,7.08,-0.14,20.97,19.7,1.47,0.07,1.39,11.73,交运设备,395231.1319,0.0,2022-05-17
125,926,福星股份,6.44,-9.93,44.28,35.79,0.54,-,0.5,2.16,房地产开发,611363.6733,0.7591,2022-05-17
126,928,中钢国际,5.95,-0.67,11.64,11.75,1.22,1.89,0.47,6.54,工程咨询服务,762188.7894,4.023,2022-05-17
127,930,中粮科技,8.59,-1.49,14.22,14.14,1.37,0.14,0.69,3.76,农牧饲渔,1602270.019,0.7569,2022-05-17
128,932,华菱钢铁,5.4,-0.18,3.83,3.85,0.78,0.07,0.21,4.02,钢铁行业,3730661.5495,3.4501,2022-05-17
129,936,华西股份,4.7,-1.05,24.83,12.19,0.83,0.11,1.66,-22.39,化纤行业,416426.0569,1.0638,2022-05-17
130,937,冀中能源,7.05,-1.67,6.99,9.09,1.14,0.01,0.72,5.16,煤炭行业,2491150.5293,5.6738,2022-05-17
131,949,新乡化纤,3.5,-0.57,4.69,3.76,0.82,0.00,0.57,2.68,化纤行业,513354.7223,0.245,2022-05-17
132,950,重药控股,4.75,-2.46,7.98,8.24,0.83,0.55,0.13,-22.91,医药商业,828099.4851,0.8421,2022-05-17
133,951,中国重汽,11.53,10.02,24.24,13.05,0.96,-,0.32,2.85,汽车整车,1354624.3721,4.2126,2022-05-17
134,958,电投产融,4.51,0.0,19.61,18.73,1.36,9.70,3.09,-134.14,综合行业,2427921.7525,1.3304,2022-05-17
135,959,首钢股份,4.35,-0.46,4.81,4.82,0.79,0.02,0.25,2.46,钢铁行业,3378098.1089,1.979,2022-05-17
136,965,天保基建,6.54,-5.49,55.18,146.6,1.33,1.82,2.43,3.85,房地产开发,725829.4053,0.0,2022-05-17
137,967,盈峰环境,4.53,0.0,20.05,19.77,0.86,-,1.21,12.38,环保行业,1440313.3886,2.5862,2022-05-17
138,976,华铁股份,4.02,0.0,16.05,16.25,1.45,-,3.41,4.83,交运设备,641462.876,0.7747,2022-05-17
139,987,越秀金控,7.74,1.04,11.53,11.6,1.12,-,1.97,-3.11,多元金融,2876489.2788,2.3926,2022-05-17
140,990,诚志股份,11.35,-5.1,17.08,14.1,0.8,0.13,1.13,9.11,化学原料,1422168.5281,0.0,2022-05-17
141,1213,中铁特货,4.74,-0.63,56.89,53.91,1.16,4.07,2.41,33.0,物流行业,2106666.6665,,2022-05-17
142,1218,丽臣实业,32.08,-0.68,19.34,16.14,1.41,-,1.03,14.21,化学制品,288705.564,,2022-05-17
143,1227,兰州银行,4.73,-0.21,14.94,17.2,1.03,0.00,3.45,2.73,银行,2694064.7605,,2022-05-17
144,1288,运机集团,15.12,-3.45,27.5,28.36,1.35,-,2.93,534.99,工程机械,241920.0,,2022-05-17
145,1696,宗申动力,5.78,0.35,14.45,13.77,1.4,-,0.7,9.59,交运设备,661825.5598,5.1903,2022-05-17
146,1872,招商港口,15.25,0.39,9.73,10.92,0.71,0.39,1.86,4.42,航运港口,2931606.8141,2.4918,2022-05-17
147,1965,招商公路,7.33,0.41,9.38,9.11,0.85,0.08,5.37,10.84,铁路公路,4528643.5568,2.4147,2022-05-17
148,1979,招商蛇口,13.6,-1.02,10.62,10.39,1.27,-,0.65,3.0,房地产开发,10775609.9251,4.5965,2022-05-17
149,2002,鸿达兴业,3.47,0.29,15.82,12.72,1.08,6.19,1.87,-51.21,化学原料,1083319.8823,0.2609,2022-05-17
150,2004,华邦健康,5.38,-0.37,14.85,15.9,1.04,5.19,0.82,7.26,农药兽药,1065196.5248,4.0892,2022-05-17
151,2010,传化智联,6.13,0.33,8.32,8.37,1.11,0.14,0.51,16.74,物流行业,1882802.9712,1.7561,2022-05-17
152,2012,凯恩股份,4.64,-0.43,26.15,23.07,1.48,16.93,1.33,7.84,造纸印刷,216978.2181,0.1961,2022-05-17
153,2016,世荣兆业,6.55,-6.56,7.71,7.49,1.12,-,2.09,-15.72,房地产开发,529957.639,1.5267,2022-05-17
154,2026,山东威达,10.24,3.43,13.02,11.99,1.43,0.27,1.29,37.27,通用设备,451303.8172,0.9378,2022-05-17
155,2029,七匹狼,5.19,-1.52,18.51,16.96,0.65,1.79,1.13,8.0,纺织服装,392192.73,1.8033,2022-05-17
156,2035,华帝股份,5.41,-3.39,21.89,22.12,1.38,-,0.81,9.35,家电行业,458580.6073,2.7726,2022-05-17
157,2037,保利联合,8.9,-0.89,50.55,41.47,1.21,-,0.72,-11.87,化学制品,430656.3737,0.5888,2022-05-17
158,2040,南京港,6.44,-1.68,20.45,21.36,1.06,1.59,3.83,10.08,航运港口,311674.6192,0.6988,2022-05-17
159,2042,华孚时尚,3.58,-1.65,10.34,10.69,0.86,0.02,0.36,12.28,纺织服装,608843.9251,5.0279,2022-05-17
160,2048,宁波华翔,14.03,0.36,9.34,9.03,1.09,0.18,0.65,4.88,汽车零部件,1142175.9977,20.2862,2022-05-17
161,2051,中工国际,9.0,-0.11,38.58,39.43,1.03,0.01,1.17,73.27,工程建设,1113668.0433,0.0,2022-05-17
162,2054,德美化工,7.36,0.41,16.29,17.21,1.44,0.17,1.69,63.78,化学制品,354836.9727,0.9511,2022-05-17
163,2061,浙江交科,7.0,-1.41,8.94,11.42,1.05,-,0.23,-21.1,工程建设,1106162.2495,1.4923,2022-05-17
164,2067,景兴纸业,3.56,-0.84,10.57,9.64,0.79,0.27,0.67,10.73,造纸印刷,425042.5389,0.0,2022-05-17
165,2073,软控股份,5.14,1.78,33.5,34.45,1.09,0.74,0.8,25.94,专用设备,490143.5504,0.0,2022-05-17
166,2077,大港股份,5.43,0.18,21.27,23.15,1.0,0.63,4.6,12.61,半导体,315129.2426,0.0,2022-05-17
167,2083,孚日股份,4.33,-2.04,14.85,13.03,0.93,0.60,0.67,9.95,纺织服装,355647.1619,0.0,2022-05-17
168,2084,海鸥住工,4.23,-2.98,61.69,30.03,1.44,-,0.63,27.58,装修装饰,257102.9934,0.0,2022-05-17
169,2087,新野纺织,3.21,-2.73,99.9,53.57,0.61,-,0.53,16.69,纺织服装,262190.9815,0.7165,2022-05-17
170,2092,中泰化学,7.49,0.54,8.0,7.14,0.75,0.01,0.35,7.32,化学原料,1929228.8982,0.1113,2022-05-17
171,2093,国脉科技,5.07,-0.78,51.09,52.22,1.46,1.26,10.43,-7035.22,通信服务,510802.5,0.1972,2022-05-17
172,2094,青岛金王,3.34,-1.76,111.75,141.21,1.03,-,0.74,-17.03,美容护理,230759.7814,0.0,2022-05-17
173,2101,广东鸿图,10.26,0.69,17.58,18.08,1.14,0.17,0.91,6.71,汽车零部件,542629.7165,1.4653,2022-05-17
174,2106,莱宝高科,7.28,0.41,12.57,10.46,1.08,1.11,0.7,6.99,光学光电子,513834.1645,2.0604,2022-05-17
175,2109,兴化股份,5.8,0.0,9.35,11.34,1.3,0.07,1.96,7.99,化学原料,610707.9776,0.0,2022-05-17
176,2110,三钢闽光,6.78,-0.29,4.63,4.18,0.7,0.08,0.27,4.69,钢铁行业,1662168.6894,6.5763,2022-05-17
177,2128,电投能源,14.59,0.76,6.9,7.88,1.27,0.08,1.08,3.68,煤炭行业,2803575.7263,2.7416,2022-05-17
178,2133,广宇集团,4.37,10.08,9.54,10.37,0.86,0.91,0.4,-2.68,房地产开发,338301.0045,1.8307,2022-05-17
179,2144,宏达高科,8.57,-1.61,26.83,23.35,0.81,30.25,2.57,12.58,纺织服装,151485.4865,1.1669,2022-05-17
180,2150,通润装备,6.03,-2.74,14.37,14.94,1.43,1.49,1.06,27.73,通用设备,214979.783,2.4876,2022-05-17
181,2154,报喜鸟,4.1,0.49,12.23,12.89,1.37,0.49,1.3,11.81,纺织服装,598326.8289,4.2736,2022-05-17
182,2160,常铝股份,3.74,0.27,29.9,28.63,0.94,0.13,0.47,-36.3,有色金属,297547.659,0.0,2022-05-17
183,2181,粤传媒,3.53,-0.56,50.94,45.71,0.95,-,7.39,-7.12,文化传媒,409853.5354,1.6997,2022-05-17
184,2187,广百股份,8.66,-5.25,34.15,23.4,1.38,0.07,0.99,13.79,商业百货,609697.7151,0.2808,2022-05-17
185,2195,二三四五,2.13,-0.47,31.18,30.69,1.3,-,14.17,25.07,互联网服务,1219392.5522,0.0,2022-05-17
186,2202,金风科技,11.77,2.17,13.72,14.39,1.41,0.93,0.99,10.31,风电设备,4972904.6205,2.124,2022-05-17
187,2204,大连重工,3.48,-0.29,42.55,58.25,1.01,0.46,0.71,5.6,工程机械,672116.7711,1.0057,2022-05-17
188,2208,合肥城建,7.98,-2.44,11.95,7.31,1.03,0.94,1.28,-1.42,房地产开发,641026.9314,1.2531,2022-05-17
189,2212,天融信,9.27,0.43,42.17,47.79,1.18,-,3.17,99.77,软件开发,1099248.7873,0.4177,2022-05-17
190,2221,东华能源,7.62,0.66,14.38,11.02,1.15,-,0.48,30.53,石油行业,1256555.3919,2.8975,2022-05-17
191,2224,三力士,4.46,2.76,32.52,28.73,1.36,-,3.26,25.11,橡胶制品,325398.4834,0.4376,2022-05-17
192,2225,濮耐股份,3.79,-1.04,47.94,45.72,1.25,-,0.85,-12.52,装修建材,382924.703,1.5831,2022-05-17
193,2228,合兴包装,3.3,-0.3,19.5,18.72,1.2,-,0.23,12.07,包装材料,408748.3934,2.9895,2022-05-17
194,2233,塔牌集团,8.74,-0.79,6.78,5.67,0.87,2.09,1.4,5.79,水泥建材,1042048.364,4.9078,2022-05-17
195,2237,恒邦股份,9.17,0.44,23.88,23.15,1.32,1.08,0.25,66.31,贵金属,1052729.2048,0.8179,2022-05-17
196,2244,滨江集团,8.32,-2.12,9.06,8.55,1.25,0.28,0.7,-2.58,房地产开发,2588721.3165,2.7163,2022-05-17
197,2252,上海莱士,5.54,-1.95,26.36,28.85,1.42,-,7.3,26.27,生物制品,3734396.5005,0.4513,2022-05-17
198,2255,海陆重工,4.59,-0.86,11.22,8.74,1.18,-,1.48,17.09,电源设备,386602.4142,0.0,2022-05-17
199,2267,陕天然气,7.35,-0.14,13.77,19.4,1.19,0.93,0.98,14.31,燃气,817375.4521,2.7211,2022-05-17
200,2272,川润股份,4.57,-0.44,44.52,39.09,1.36,-,1.27,-26.61,工程机械,200293.96,0.0,2022-05-17
201,2277,友阿股份,3.61,-2.17,64.28,38.5,0.76,-,1.96,5.98,商业百货,503296.3808,0.277,2022-05-17
202,2282,博深股份,7.87,2.21,22.69,18.91,1.23,0.27,2.77,48.1,通用设备,428084.2145,1.0165,2022-05-17
203,2283,天润工业,5.85,1.04,14.4,12.31,1.18,2.47,1.63,7.26,汽车零部件,666582.4491,0.8358,2022-05-17
204,2295,精艺股份,6.15,-0.49,29.26,26.28,1.19,0.99,0.24,6.64,有色金属,154128.84,0.0,2022-05-17
205,2296,辉煌科技,6.06,-0.16,21.25,19.65,1.47,0.50,3.22,10.89,通信设备,236107.5505,0.0,2022-05-17
206,2298,中电兴发,6.05,-0.66,19.77,21.77,0.88,-,1.58,-518.08,软件开发,447767.0951,0.2987,2022-05-17
207,2302,西部建设,7.79,-2.5,12.64,11.64,1.15,1.34,0.37,-53.34,水泥建材,983374.0028,1.1553,2022-05-17
208,2303,美盈森,3.17,-0.63,48.41,49.08,1.0,-,1.31,10.57,包装材料,485429.6081,3.7855,2022-05-17
209,2314,南山控股,4.69,-5.63,13.61,13.01,1.35,-,1.12,5.85,房地产开发,1269949.9986,2.1322,2022-05-17
